Dataset,ChunkIndex,CompressionImprovementPct,MaxBitWidth,MinBitWidth,MaxMinBitWidthDiff,BitWidthMean,BitWidthVar,BitWidthStd,BitWidthDiffAbsMean,BitWidthMedian,BitWidthP90,BitWidthChangeCount,BitWidthRunMean,ZeroFrac
City-temp.csv,28,4.276985743380855,11.0,1.0,10.0,10.931640625,0.6789207458496094,0.8239664713139785,0.05865102639296188,11.0,11.0,6,146.28571428571428,0.0068359375
City-temp.csv,29,4.276985743380855,11.0,1.0,10.0,10.82421875,1.7269134521484375,1.314120790547215,0.15640273704789834,11.0,11.0,16,60.23529411764706,0.017578125
City-temp.csv,30,4.276985743380855,11.0,1.0,10.0,10.921875,0.775146484375,0.8804240366863004,0.13685239491691104,11.0,11.0,14,68.26666666666667,0.0078125
City-temp.csv,31,2.772002772002772,11.0,1.0,10.0,10.39453125,5.6880950927734375,2.3849727656251,0.33235581622678395,11.0,11.0,34,29.257142857142856,0.060546875
City-temp.csv,32,2.3083264633140974,11.0,1.0,10.0,7.591796875,22.466182708740234,4.739850494344757,1.2512218963831867,11.0,11.0,128,7.937984496124031,0.3408203125
City-temp.csv,33,4.276985743380855,11.0,1.0,10.0,10.482421875,4.907894134521484,2.215376747761311,0.5865102639296188,11.0,11.0,60,16.78688524590164,0.0517578125
City-temp.csv,34,4.276985743380855,11.0,1.0,10.0,10.912109375,0.8711814880371094,0.9333710344965229,0.039100684261974585,11.0,11.0,4,204.8,0.0087890625
City-temp.csv,35,4.276985743380855,11.0,1.0,10.0,10.98046875,0.1949310302734375,0.44150994357255136,0.039100684261974585,11.0,11.0,4,204.8,0.001953125
City-temp.csv,36,4.276985743380855,11.0,1.0,10.0,10.970703125,0.2921104431152344,0.5404724258602231,0.05865102639296188,11.0,11.0,6,146.28571428571428,0.0029296875
City-temp.csv,37,4.276985743380855,11.0,1.0,10.0,10.970703125,0.2921104431152344,0.5404724258602231,0.05865102639296188,11.0,11.0,6,146.28571428571428,0.0029296875
City-temp.csv,38,4.276985743380855,11.0,1.0,10.0,10.9609375,0.38909912109375,0.6237781024480982,0.039100684261974585,11.0,11.0,4,204.8,0.00390625
City-temp.csv,39,4.276985743380855,11.0,1.0,10.0,10.94140625,0.5825042724609375,0.7632196751007783,0.09775171065493646,11.0,11.0,10,93.0909090909091,0.005859375
City-temp.csv,40,4.276985743380855,11.0,1.0,10.0,10.912109375,0.8711814880371094,0.9333710344965229,0.09775171065493646,11.0,11.0,10,93.0909090909091,0.0087890625
